Formula Grant Accountability/Performance Custom Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,Indicator,Edu Type,Year,Grand Total Numerator,Grand Total Denominator,Grand Total Target,Grand Total Actual Performance,Met 90%,Missed 90%,Male Numerator,Male Denominator,Male Target,Male Actual Performance,Female  Numerator,Female  Denominator,Female  Target,Female  Actual Performance,American Indian or Alaskan Native (1997) Numerator,American Indian or Alaskan Native (1997) Denominator,American Indian or Alaskan Native (1997) Target,American Indian or Alaskan Native (1997) Actual Performance,Asian (1997) Numerator,Asian (1997) Denominator,Asian (1997) Target,Asian (1997) Actual Performance,Black or African American (1997) Numerator,Black or African American (1997) Denominator,Black or African American (1997) Target,Black or African American (1997) Actual Performance,Hispanic/Latino (1997) Numerator,Hispanic/Latino (1997) Denominator,Hispanic/Latino (1997) Target,Hispanic/Latino (1997) Actual Performance,Native Hawaiian or Other Pacific Islander (1997) Numerator,Native Hawaiian or Other Pacific Islander (1997) Denominator,Native Hawaiian or Other Pacific Islander (1997) Target,Native Hawaiian or Other Pacific Islander (1997) Actual Performance,White (1997) Numerator,White (1997) Denominator,White (1997) Target,White (1997) Actual Performance,Two or More Races (1997) Numerator,Two or More Races (1997) Denominator,Two or More Races (1997) Target,Two or More Races (1997) Actual Performance,Unknown (1997) Numerator,Unknown (1997) Denominator,Unknown (1997) Target,Unknown (1997) Actual Performance,American Indian or Alaskan Native (1977) Numerator,American Indian or Alaskan Native (1977) Denominator,American Indian or Alaskan Native (1977) Target,American Indian or Alaskan Native (1977) Actual Performance,Asian or Pacific Islander (1977) Numerator,Asian or Pacific Islander (1977) Denominator,Asian or Pacific Islander (1977) Target,Asian or Pacific Islander (1977) Actual Performance,Black (Not Hispanic) (1977) Numerator,Black (Not Hispanic) (1977) Denominator,Black (Not Hispanic) (1977) Target,Black (Not Hispanic) (1977) Actual Performance,Hispanic (1977) Numerator,Hispanic (1977) Denominator,Hispanic (1977) Target,Hispanic (1977) Actual Performance,White (1977) Numerator,White (1977) Denominator,White (1977) Target,White (1977) Actual Performance,Unknown (1977) Numerator,Unknown (1977) Denominator,Unknown (1977) Target,Unknown (1977) Actual Performance
California,"2P1: Credential, Certificate, or Degree",Postsecondary,"2,015","102,070","119,501",82.00%,85.41%,Yes,No,"46,263","56,904",82.00%,81.30%,"55,807","62,597",82.00%,89.15%,649,778,82.00%,83.42%,"16,555","18,144",82.00%,91.24%,"6,014","7,989",82.00%,75.28%,"34,164","40,597",82.00%,84.15%,481,568,82.00%,84.68%,"36,754","43,398",82.00%,84.69%,"2,656","3,145",82.00%,84.45%,"4,797","5,488",82.00%,87.41%,0,0,82.00%,0.00%,0,0,82.00%,0.00%,0,0,82.00%,0.00%,0,0,82.00%,0.00%,0,0,82.00%,0.00%,0,0,82.00%,0.00%
California,"2P1: Credential, Certificate, or Degree",Postsecondary,"2,014","96,376","117,130",81.50%,82.28%,Yes,No,"42,760","55,238",81.50%,77.41%,"53,616","61,892",81.50%,86.63%,719,878,81.50%,81.89%,"16,136","18,043",81.50%,89.43%,"5,742","7,410",81.50%,77.49%,"30,106","37,499",81.50%,80.28%,518,637,81.50%,81.32%,"35,465","43,327",81.50%,81.85%,"1,864","2,303",81.50%,80.94%,"5,826","7,033",81.50%,82.84%,0,0,81.50%,0.00%,0,0,81.50%,0.00%,0,0,81.50%,0.00%,0,0,81.50%,0.00%,0,0,81.50%,0.00%,0,0,81.50%,0.00%
California,"2P1: Credential, Certificate, or Degree",Postsecondary,"2,013","92,779","113,841",80.30%,81.50%,Yes,No,"40,234","52,925",80.30%,76.02%,"52,545","60,916",80.30%,86.26%,752,939,80.30%,80.09%,"16,221","18,112",80.30%,89.56%,"5,457","6,897",80.30%,79.12%,"27,202","34,626",80.30%,78.56%,539,732,80.30%,73.63%,"34,990","43,114",80.30%,81.16%,"1,046","1,298",80.30%,80.59%,"6,518","8,123",80.30%,80.24%,0,0,80.30%,0.00%,0,0,80.30%,0.00%,0,0,80.30%,0.00%,0,0,80.30%,0.00%,0,0,80.30%,0.00%,0,0,80.30%,0.00%
California,"2P1: Credential, Certificate, or Degree",Postsecondary,"2,012","90,204","110,348",80.25%,81.75%,Yes,No,"38,543","50,430",80.25%,76.43%,"51,661","59,918",80.25%,86.22%,702,885,80.25%,79.32%,"15,905","17,984",80.25%,88.44%,"5,373","6,786",80.25%,79.18%,"24,867","31,393",80.25%,79.21%,631,784,80.25%,80.48%,"33,653","41,277",80.25%,81.53%,577,693,80.25%,83.26%,"8,496","10,546",80.25%,80.56%,0,0,80.25%,0.00%,0,0,80.25%,0.00%,0,0,80.25%,0.00%,0,0,80.25%,0.00%,0,0,80.25%,0.00%,0,0,80.25%,0.00%
California,"2P1: Credential, Certificate, or Degree",Postsecondary,"2,011","87,758","108,055",82.05%,81.22%,Yes,No,"37,107","48,867",82.05%,75.93%,"50,651","59,188",82.05%,85.58%,788,"1,023",82.05%,77.03%,"16,010","18,018",82.05%,88.86%,"5,352","6,923",82.05%,77.31%,"23,905","30,732",82.05%,77.79%,702,848,82.05%,82.78%,"33,702","41,481",82.05%,81.25%,21,24,82.05%,87.50%,"7,278","9,006",82.05%,80.81%,0,0,82.05%,0.00%,0,0,82.05%,0.00%,0,0,82.05%,0.00%,0,0,82.05%,0.00%,0,0,82.05%,0.00%,0,0,82.05%,0.00%
California,"2P1: Credential, Certificate, or Degree",Postsecondary,"2,010","84,414","103,463",81.65%,81.59%,Yes,No,"35,474","46,432",81.65%,76.40%,"48,940","57,031",81.65%,85.81%,738,959,81.65%,76.96%,"15,272","17,142",81.65%,89.09%,"5,360","6,751",81.65%,79.40%,"22,472","28,949",81.65%,77.63%,572,722,81.65%,79.22%,"33,534","40,956",81.65%,81.88%,0,0,81.65%,0.00%,"6,466","7,984",81.65%,80.99%,0,0,81.65%,0.00%,0,0,81.65%,0.00%,0,0,81.65%,0.00%,0,0,81.65%,0.00%,0,0,81.65%,0.00%,0,0,81.65%,0.00%
California,"2P1: Credential, Certificate, or Degree",Postsecondary,"2,009","82,906","102,026",81.24%,81.26%,Yes,No,"34,560","45,337",81.24%,76.23%,"48,346","56,689",81.24%,85.28%,762,981,81.24%,77.68%,"15,017","16,853",81.24%,89.11%,"5,300","6,906",81.24%,76.74%,"22,029","28,306",81.24%,77.82%,555,682,81.24%,81.38%,"33,297","40,651",81.24%,81.91%,0,0,81.24%,0.00%,"5,946","7,647",81.24%,77.76%,0,0,81.24%,0.00%,0,0,81.24%,0.00%,0,0,81.24%,0.00%,0,0,81.24%,0.00%,0,0,81.24%,0.00%,0,0,81.24%,0.00%
California,"2P1: Credential, Certificate, or Degree",Postsecondary,"2,008",0,0,0.00%,0.00%,No,No,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
California,3P1: Student Retention or Transfer,Postsecondary,"2,016","164,460","183,273",88.00%,89.73%,Yes,No,"83,039","94,066",88.00%,88.28%,"81,421","89,207",88.00%,91.27%,905,994,88.00%,91.05%,"21,369","23,758",88.00%,89.94%,"11,598","13,003",88.00%,89.19%,"64,496","71,227",88.00%,90.55%,703,792,88.00%,88.76%,"55,009","61,868",88.00%,88.91%,"5,511","6,137",88.00%,89.80%,"4,869","5,494",88.00%,88.62%,0,0,88.00%,0.00%,0,0,88.00%,0.00%,0,0,88.00%,0.00%,0,0,88.00%,0.00%,0,0,88.00%,0.00%,0,0,88.00%,0.00%
California,3P1: Student Retention or Transfer,Postsecondary,"2,015","160,415","183,360",86.75%,87.49%,Yes,No,"80,329","93,566",86.75%,85.85%,"80,086","89,794",86.75%,89.19%,945,"1,096",86.75%,86.22%,"20,892","23,929",86.75%,87.31%,"11,678","13,318",86.75%,87.69%,"59,752","67,421",86.75%,88.63%,760,871,86.75%,87.26%,"55,372","64,179",86.75%,86.28%,"4,840","5,458",86.75%,88.68%,"6,176","7,088",86.75%,87.13%,0,0,86.75%,0.00%,0,0,86.75%,0.00%,0,0,86.75%,0.00%,0,0,86.75%,0.00%,0,0,86.75%,0.00%,0,0,86.75%,0.00%
California,3P1: Student Retention or Transfer,Postsecondary,"2,014","161,590","187,452",86.50%,86.20%,Yes,No,"80,465","95,331",86.50%,84.41%,"81,125","92,121",86.50%,88.06%,"1,105","1,287",86.50%,85.86%,"21,530","24,908",86.50%,86.44%,"12,117","13,988",86.50%,86.62%,"56,228","64,533",86.50%,87.13%,825,967,86.50%,85.32%,"57,111","67,084",86.50%,85.13%,"3,849","4,378",86.50%,87.92%,"8,825","10,307",86.50%,85.62%,0,0,86.50%,0.00%,0,0,86.50%,0.00%,0,0,86.50%,0.00%,0,0,86.50%,0.00%,0,0,86.50%,0.00%,0,0,86.50%,0.00%
California,3P1: Student Retention or Transfer,Postsecondary,"2,013","165,584","191,491",85.80%,86.47%,Yes,No,"82,571","97,442",85.80%,84.74%,"83,013","94,049",85.80%,88.27%,"1,320","1,538",85.80%,85.83%,"22,490","25,828",85.80%,87.08%,"12,521","14,103",85.80%,88.78%,"54,373","62,619",85.80%,86.83%,997,"1,160",85.80%,85.95%,"59,909","70,002",85.80%,85.58%,"2,429","2,736",85.80%,88.78%,"11,545","13,505",85.80%,85.49%,0,0,85.80%,0.00%,0,0,85.80%,0.00%,0,0,85.80%,0.00%,0,0,85.80%,0.00%,0,0,85.80%,0.00%,0,0,85.80%,0.00%
California,3P1: Student Retention or Transfer,Postsecondary,"2,012","162,078","186,733",85.75%,86.80%,Yes,No,"80,609","94,550",85.75%,85.26%,"81,469","92,183",85.75%,88.38%,"1,420","1,627",85.75%,87.28%,"22,233","25,667",85.75%,86.62%,"11,724","13,282",85.75%,88.27%,"50,092","57,230",85.75%,87.53%,"1,090","1,265",85.75%,86.17%,"58,335","67,817",85.75%,86.02%,"1,185","1,327",85.75%,89.30%,"15,999","18,518",85.75%,86.40%,0,0,85.75%,0.00%,0,0,85.75%,0.00%,0,0,85.75%,0.00%,0,0,85.75%,0.00%,0,0,85.75%,0.00%,0,0,85.75%,0.00%
California,3P1: Student Retention or Transfer,Postsecondary,"2,011","151,187","175,968",85.96%,85.92%,Yes,No,"74,815","88,621",85.96%,84.42%,"76,372","87,347",85.96%,87.44%,"1,475","1,724",85.96%,85.56%,"22,171","25,573",85.96%,86.70%,"11,105","12,852",85.96%,86.41%,"45,302","52,755",85.96%,85.87%,"1,288","1,451",85.96%,88.77%,"56,637","66,259",85.96%,85.48%,27,32,85.96%,84.38%,"13,182","15,322",85.96%,86.03%,0,0,85.96%,0.00%,0,0,85.96%,0.00%,0,0,85.96%,0.00%,0,0,85.96%,0.00%,0,0,85.96%,0.00%,0,0,85.96%,0.00%
California,3P1: Student Retention or Transfer,Postsecondary,"2,010","140,565","163,983",85.54%,85.72%,Yes,No,"69,043","82,035",85.54%,84.16%,"71,522","81,948",85.54%,87.28%,"1,356","1,356",85.54%,100.00%,"20,855","20,855",85.54%,100.00%,"10,314","10,314",85.54%,100.00%,"42,161","42,161",85.54%,100.00%,986,986,85.54%,100.00%,"53,485","53,485",85.54%,100.00%,0,-1,85.54%,0.00%,"11,408","11,408",85.54%,100.00%,0,0,85.54%,0.00%,0,0,85.54%,0.00%,0,0,85.54%,0.00%,0,0,85.54%,0.00%,0,0,85.54%,0.00%,0,0,85.54%,0.00%
California,3P1: Student Retention or Transfer,Postsecondary,"2,009","135,433","159,098",85.11%,85.13%,Yes,No,"65,453","78,363",85.11%,83.53%,"69,980","80,735",85.11%,86.68%,"1,330","1,568",85.11%,84.82%,"20,100","23,166",85.11%,86.77%,"10,014","11,812",85.11%,84.78%,"40,695","47,566",85.11%,85.55%,906,"1,040",85.11%,87.12%,"52,148","61,247",85.11%,85.14%,0,0,85.11%,0.00%,"10,947","12,699",85.11%,86.20%,0,0,85.11%,0.00%,0,0,85.11%,0.00%,0,0,85.11%,0.00%,0,0,85.11%,0.00%,0,0,85.11%,0.00%,0,0,85.11%,0.00%
California,3P1: Student Retention or Transfer,Postsecondary,"2,008",0,0,0.00%,0.00%,No,No,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
California,4P1: Student Placement,Postsecondary,"2,016","54,245","69,181",68.00%,78.41%,Yes,No,"26,852","33,758",68.00%,79.54%,"27,393","35,423",68.00%,77.33%,299,415,68.00%,72.05%,"6,983","8,998",68.00%,77.61%,"3,317","4,744",68.00%,69.92%,"19,676","23,961",68.00%,82.12%,242,307,68.00%,78.83%,"20,211","26,253",68.00%,76.99%,"1,604","2,059",68.00%,77.90%,"1,913","2,444",68.00%,78.27%,0,0,68.00%,0.00%,0,0,68.00%,0.00%,0,0,68.00%,0.00%,0,0,68.00%,0.00%,0,0,68.00%,0.00%,0,0,68.00%,0.00%
California,4P1: Student Placement,Postsecondary,"2,015","50,046","75,744",81.00%,66.07%,No,Yes,"24,954","36,554",81.00%,68.27%,"25,092","39,190",81.00%,64.03%,334,524,81.00%,63.74%,"6,520","10,402",81.00%,62.68%,"3,036","5,224",81.00%,58.12%,"17,633","25,038",81.00%,70.42%,222,352,81.00%,63.07%,"18,903","29,059",81.00%,65.05%,"1,198","1,854",81.00%,64.62%,"2,200","3,291",81.00%,66.85%,0,0,81.00%,0.00%,0,0,81.00%,0.00%,0,0,81.00%,0.00%,0,0,81.00%,0.00%,0,0,81.00%,0.00%,0,0,81.00%,0.00%
California,4P1: Student Placement,Postsecondary,"2,014","49,331","70,486",80.85%,69.99%,No,Yes,"24,654","36,524",80.85%,67.50%,"24,677","33,962",80.85%,72.66%,368,593,80.85%,62.06%,"6,369","10,058",80.85%,63.32%,"2,899","5,062",80.85%,57.27%,"16,484","23,372",80.85%,70.53%,278,412,80.85%,67.48%,"19,349","29,396",80.85%,65.82%,906,"1,408",80.85%,64.35%,"2,743","4,276",80.85%,64.15%,0,0,80.85%,0.00%,0,0,80.85%,0.00%,0,0,80.85%,0.00%,0,0,80.85%,0.00%,0,0,80.85%,0.00%,0,0,80.85%,0.00%
California,4P1: Student Placement,Postsecondary,"2,013","54,523","68,691",80.85%,79.37%,Yes,No,"26,423","32,657",80.85%,80.91%,"28,100","36,034",80.85%,77.98%,447,612,80.85%,73.04%,"7,352","9,282",80.85%,79.21%,"2,974","4,208",80.85%,70.67%,"17,310","20,833",80.85%,83.09%,356,449,80.85%,79.29%,"21,579","27,421",80.85%,78.70%,595,800,80.85%,74.38%,"3,910","4,986",80.85%,78.42%,0,0,80.85%,0.00%,0,0,80.85%,0.00%,0,0,80.85%,0.00%,0,0,80.85%,0.00%,0,0,80.85%,0.00%,0,0,80.85%,0.00%
California,4P1: Student Placement,Postsecondary,"2,012","53,579","70,134",81.60%,76.40%,Yes,No,"25,354","32,363",81.60%,78.34%,"28,225","37,771",81.60%,74.73%,436,604,81.60%,72.19%,"7,542","10,173",81.60%,74.14%,"3,062","4,537",81.60%,67.49%,"15,742","19,687",81.60%,79.96%,380,488,81.60%,77.87%,"21,036","27,455",81.60%,76.62%,294,400,81.60%,73.50%,"5,083","6,790",81.60%,74.86%,0,0,81.60%,0.00%,0,0,81.60%,0.00%,0,0,81.60%,0.00%,0,0,81.60%,0.00%,0,0,81.60%,0.00%,0,0,81.60%,0.00%
California,4P1: Student Placement,Postsecondary,"2,011","61,536","71,056",82.21%,86.60%,Yes,No,"28,340","32,469",82.21%,87.28%,"33,196","38,587",82.21%,86.03%,635,737,82.21%,86.16%,"8,815","10,333",82.21%,85.31%,"3,946","4,848",82.21%,81.39%,"18,197","20,463",82.21%,88.93%,440,505,82.21%,87.13%,"24,479","28,281",82.21%,86.56%,12,12,82.21%,100.00%,"5,012","5,877",82.21%,85.28%,0,0,82.21%,0.00%,0,0,82.21%,0.00%,0,0,82.21%,0.00%,0,0,82.21%,0.00%,0,0,82.21%,0.00%,0,0,82.21%,0.00%
California,4P1: Student Placement,Postsecondary,"2,010","52,840","65,495",81.80%,80.68%,Yes,No,"24,253","29,325",81.80%,82.70%,"28,587","36,170",81.80%,79.04%,488,638,81.80%,76.49%,"7,434","9,477",81.80%,78.44%,"3,347","4,521",81.80%,74.03%,"15,609","18,642",81.80%,83.73%,339,429,81.80%,79.02%,"21,654","26,744",81.80%,80.97%,0,-1,81.80%,0.00%,"3,969","5,044",81.80%,78.69%,0,0,81.80%,0.00%,0,0,81.80%,0.00%,0,0,81.80%,0.00%,0,0,81.80%,0.00%,0,0,81.80%,0.00%,0,0,81.80%,0.00%
California,4P1: Student Placement,Postsecondary,"2,009","57,532","70,687",81.39%,81.39%,Yes,No,"26,153","31,384",81.39%,83.33%,"31,379","39,303",81.39%,79.84%,599,742,81.39%,80.73%,"8,193","10,336",81.39%,79.27%,"3,894","5,177",81.39%,75.22%,"16,631","19,730",81.39%,84.29%,368,441,81.39%,83.45%,"23,561","28,935",81.39%,81.43%,0,0,81.39%,0.00%,"4,286","5,326",81.39%,80.47%,0,0,81.39%,0.00%,0,0,81.39%,0.00%,0,0,81.39%,0.00%,0,0,81.39%,0.00%,0,0,81.39%,0.00%,0,0,81.39%,0.00%
California,4P1: Student Placement,Postsecondary,"2,008",0,0,0.00%,0.00%,No,No,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
California,5P1: Nontraditional Participation,Postsecondary,"2,016","51,123","203,149",24.00%,25.17%,Yes,No,"19,016","102,247",24.00%,18.60%,"32,107","100,902",24.00%,31.82%,310,"1,146",24.00%,27.05%,"7,751","27,219",24.00%,28.48%,"3,657","13,368",24.00%,27.36%,"18,886","78,230",24.00%,24.14%,214,901,24.00%,23.75%,"16,890","69,375",24.00%,24.35%,"1,787","6,378",24.00%,28.02%,"1,628","6,532",24.00%,24.92%,0,0,24.00%,0.00%,0,0,24.00%,0.00%,0,0,24.00%,0.00%,0,0,24.00%,0.00%,0,0,24.00%,0.00%,0,0,24.00%,0.00%
